Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
33.7,34.12,33.55,33.85,6005000.0,0.0,1.0,33.7,34.12,33.55,33.85,6005000.0
33.99,34.35,33.8,33.9,3991800.0,0.0,1.0,33.99,34.35,33.8,33.9,3991800.0
34.03,34.77,33.92,34.54,4280700.0,0.0,1.0,34.03,34.77,33.92,34.54,4280700.0
34.45,34.82,34.09,34.73,3315700.0,0.0,1.0,34.45,34.82,34.09,34.73,3315700.0
34.81,35.97,34.73,35.33,9557500.0,0.0,1.0,34.81,35.97,34.73,35.33,9557500.0
35.37,35.91,35.33,35.59,5343500.0,0.0,1.0,35.37,35.91,35.33,35.59,5343500.0
35.45,35.6,34.96,35.5,5042800.0,0.0,1.0,35.45,35.6,34.96,35.5,5042800.0
35.57,36.02,35.39,35.68,5701400.0,0.0,1.0,35.57,36.02,35.39,35.68,5701400.0
35.48,35.57,35.13,35.54,5914600.0,0.0,1.0,35.48,35.57,35.13,35.54,5914600.0
35.27,35.45,35.19,35.25,3872900.0,0.0,1.0,35.27,35.45,35.19,35.25,3872900.0
35.28,35.68,35.17,35.45,4787100.0,0.0,1.0,35.28,35.68,35.17,35.45,4787100.0
35.22,35.55,35.15,35.5,3287100.0,0.0,1.0,35.22,35.55,35.15,35.5,3287100.0
35.36,36.04,35.29,35.51,4930200.0,0.0,1.0,35.36,36.04,35.29,35.51,4930200.0
35.57,36.99,35.44,36.5,10320200.0,0.0,1.0,35.57,36.99,35.44,36.5,10320200.0
36.33,36.911,36.21,36.41,4768300.0,0.0,1.0,36.33,36.911,36.21,36.41,4768300.0
36.46,36.5,35.32,35.59,4835900.0,0.0,1.0,36.46,36.5,35.32,35.59,4835900.0
35.54,36.02,35.48,35.77,3881500.0,0.0,1.0,35.54,36.02,35.48,35.77,3881500.0
35.91,36.2,35.29,35.35,4884800.0,0.0,1.0,35.91,36.2,35.29,35.35,4884800.0
35.4,35.48,34.8,34.83,5314100.0,0.0,1.0,35.4,35.48,34.8,34.83,5314100.0
34.93,35.28,34.4,35.2,3872500.0,0.0,1.0,34.93,35.28,34.4,35.2,3872500.0
35.25,35.29,34.47,34.95,3467500.0,0.0,1.0,35.25,35.29,34.47,34.95,3467500.0
34.67,35.41,34.65,34.87,3912000.0,0.0,1.0,34.67,35.41,34.65,34.87,3912000.0
34.82,35.17,34.79,35.04,3634400.0,0.0,1.0,34.82,35.17,34.79,35.04,3634400.0
35.34,35.41,34.52,35.24,5151800.0,0.0,1.0,35.34,35.41,34.52,35.24,5151800.0
35.2,35.81,35.16,35.58,4205500.0,0.0,1.0,35.2,35.81,35.16,35.58,4205500.0
35.89,36.07,35.16,35.31,4826100.0,0.0,1.0,35.89,36.07,35.16,35.31,4826100.0
35.05,35.97,35.04,35.69,5097300.0,0.0,1.0,35.05,35.97,35.04,35.69,5097300.0
35.6,35.81,35.28,35.38,4457100.0,0.0,1.0,35.6,35.81,35.28,35.38,4457100.0
35.5,35.85,35.14,35.22,2507300.0,0.0,1.0,35.5,35.85,35.14,35.22,2507300.0
35.14,35.56,35.1,35.43,5302200.0,0.0,1.0,35.14,35.56,35.1,35.43,5302200.0
35.3,35.44,34.8801,35.02,3675500.0,0.0,1.0,35.3,35.44,34.8801,35.02,3675500.0
34.91,35.05,34.17,34.5,4556300.0,0.0,1.0,34.91,35.05,34.17,34.5,4556300.0
34.6,34.63,33.59,33.71,7034300.0,0.0,1.0,34.6,34.63,33.59,33.71,7034300.0
33.7,34.07,33.27,33.35,4813300.0,0.0,1.0,33.7,34.07,33.27,33.35,4813300.0
33.47,33.56,32.93,33.09,5715700.0,0.0,1.0,33.47,33.56,32.93,33.09,5715700.0
33.24,33.27,32.79,32.91,2932700.0,0.0,1.0,33.24,33.27,32.79,32.91,2932700.0
33.5,34.48,33.45,34.08,7383800.0,0.0,1.0,33.5,34.48,33.45,34.08,7383800.0
34.01,34.4,33.86,34.06,4397200.0,0.0,1.0,34.01,34.4,33.86,34.06,4397200.0
33.8,34.51,33.8,33.96,4242900.0,0.0,1.0,33.8,34.51,33.8,33.96,4242900.0
34.11,34.75,33.85,34.74,4257000.0,0.0,1.0,34.11,34.75,33.85,34.74,4257000.0
34.72,35.68,34.6,35.59,5166000.0,0.0,1.0,34.72,35.68,34.6,35.59,5166000.0
35.49,36.54,35.46,36.31,5877200.0,0.0,1.0,35.49,36.54,35.46,36.31,5877200.0
36.27,36.55,36.19,36.51,3201800.0,0.0,1.0,36.27,36.55,36.19,36.51,3201800.0
37.19,37.42,36.88,37.19,5863300.0,0.0,1.0,37.19,37.42,36.88,37.19,5863300.0
37.35,37.5,36.75,37.15,5209000.0,0.0,1.0,37.35,37.5,36.75,37.15,5209000.0
36.95,37.19,36.76,37.19,2973300.0,0.0,1.0,36.95,37.19,36.76,37.19,2973300.0
37.38,38.17,36.69,38.17,5840600.0,0.0,1.0,37.38,38.17,36.69,38.17,5840600.0
37.49,38.25,37.3,38.17,6368400.0,0.0,1.0,37.49,38.25,37.3,38.17,6368400.0
38.96,39.75,37.76,37.95,11055600.0,0.0,1.0,38.96,39.75,37.76,37.95,11055600.0
37.89,38.23,37.24,37.95,5871100.0,0.0,1.0,37.89,38.23,37.24,37.95,5871100.0
38.0,39.04,37.85,37.95,5470000.0,0.0,1.0,38.0,39.04,37.85,37.95,5470000.0
38.22,38.75,37.72,37.74,14782300.0,0.0,1.0,38.22,38.75,37.72,37.74,14782300.0
42.01,43.74,41.84,43.65,46075600.0,0.0,1.0,42.01,43.74,41.84,43.65,46075600.0
43.54,45.81,43.37,45.68,25141500.0,0.0,1.0,43.54,45.81,43.37,45.68,25141500.0
45.31,45.75,44.61,45.15,10491800.0,0.0,1.0,45.31,45.75,44.61,45.15,10491800.0
44.88,45.19,44.35,44.93,7127200.0,0.0,1.0,44.88,45.19,44.35,44.93,7127200.0
44.9,46.97,44.88,46.51,10836400.0,0.0,1.0,44.9,46.97,44.88,46.51,10836400.0
46.01,46.18,45.84,46.11,4832500.0,0.0,1.0,46.01,46.18,45.84,46.11,4832500.0
45.55,45.77,45.42,45.46,4977200.0,0.0,1.0,45.55,45.77,45.42,45.46,4977200.0
45.25,45.71,45.17,45.27,4951500.0,0.0,1.0,45.25,45.71,45.17,45.27,4951500.0
45.32,45.9,45.26,45.66,4454900.0,0.0,1.0,45.32,45.9,45.26,45.66,4454900.0
45.76,46.43899999999999,45.75,45.93,4591200.0,0.0,1.0,45.76,46.43899999999999,45.75,45.93,4591200.0
45.39,45.57,44.59,44.76,9921200.0,0.0,1.0,45.39,45.57,44.59,44.76,9921200.0
44.62,45.211000000000006,44.5,45.21,5842200.0,0.0,1.0,44.62,45.211000000000006,44.5,45.21,5842200.0
